video_file_name,label,hate_snippet,target,Audios_preprocess,speech_ranges
hate_video_1.mp4,Hate,"[['00:00:34', '00:01:34']]",Blacks,True,"[['00:00:12', '00:00:16']]"
hate_video_2.mp4,Hate,"[['00:00:06', '00:02:06']]",Blacks,True,"[['00:00:00', '00:00:55'], ['00:00:57', '00:01:11'], ['00:01:12', '00:02:06']]"
non_hate_video_1.mp4,Non Hate,,Others,True,"[['00:00:08', '00:00:29'], ['00:00:30', '00:00:34'], ['00:00:34', '00:00:46'], ['00:00:50', '00:01:23'], ['00:01:23', '00:01:27']]"
hate_video_3.mp4,Hate,"[['00:00:03', '00:01:40'], ['00:01:41', '00:03:27']]",Blacks,True,"[['00:00:00', '00:02:38'], ['00:02:42', '00:03:31']]"
non_hate_video_2.mp4,Non Hate,,Blacks,False,
hate_video_4.mp4,Hate,"[['00:00:00', '00:00:13']]",Jews,True,"[['00:00:00', '00:00:10']]"
non_hate_video_3.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:01:55']]"
non_hate_video_4.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:02']]"
hate_video_5.mp4,Hate,"[['00:00:00', '00:00:39']]",Blacks,True,"[['00:00:00', '00:00:34']]"
non_hate_video_5.mp4,Non Hate,,Others,True,"[['00:00:09', '00:00:19']]"
hate_video_6.mp4,Hate,"[['00:00:00', '00:01:13']]",Blacks,True,"[['00:00:02', '00:00:32'], ['00:00:32', '00:00:38'], ['00:00:38', '00:01:07'], ['00:01:10', '00:01:14']]"
hate_video_7.mp4,Hate,"[['00:00:00', '00:00:26']]",Blacks,True,"[['00:00:00', '00:00:07'], ['00:00:08', '00:00:19'], ['00:00:20', '00:00:26']]"
non_hate_video_6.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:02']]"
non_hate_video_7.mp4,Non Hate,,Blacks,False,
hate_video_8.mp4,Hate,"[['00:00:00', '00:00:57']]",Blacks,True,"[['00:00:00', '00:00:57']]"
hate_video_9.mp4,Hate,"[['00:00:07', '00:02:24']]",Blacks,True,"[['00:00:06', '00:00:58'], ['00:01:00', '00:01:04'], ['00:01:17', '00:01:20'], ['00:01:33', '00:01:49'], ['00:01:50', '00:01:56'], ['00:01:57', '00:02:06'], ['00:02:08', '00:02:17'], ['00:02:17', '00:02:22']]"
non_hate_video_8.mp4,Non Hate,,Others,True,"[['00:00:03', '00:00:07']]"
non_hate_video_9.mp4,Non Hate,,Others,True,"[['00:00:00', '00:00:38'], ['00:00:39', '00:00:43']]"
hate_video_10.mp4,Hate,"[['00:00:00', '00:00:38']]",Blacks,True,"[['00:00:00', '00:00:24'], ['00:00:28', '00:00:31'], ['00:00:32', '00:00:39']]"
hate_video_11.mp4,Hate,"[['00:00:00', '00:00:32']]",Blacks,True,"[['00:00:00', '00:00:15'], ['00:00:26', '00:00:33']]"
non_hate_video_10.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:02'], ['00:00:22', '00:00:26'], ['00:00:45', '00:00:49'], ['00:00:50', '00:00:54']]"
hate_video_12.mp4,Hate,"[['00:00:17', '00:01:17']]",Blacks,True,"[['00:00:00', '00:00:09'], ['00:00:26', '00:00:46'], ['00:00:50', '00:01:13'], ['00:01:18', '00:01:27'], ['00:01:30', '00:01:48'], ['00:01:59', '00:02:12']]"
non_hate_video_11.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:06'], ['00:00:10', '00:00:24'], ['00:00:30', '00:00:34'], ['00:00:34', '00:00:39'], ['00:01:13', '00:01:21'], ['00:01:21', '00:01:29'], ['00:01:30', '00:01:34'], ['00:01:35', '00:01:42']]"
non_hate_video_12.mp4,Non Hate,,Others,True,"[['00:00:00', '00:09:34']]"
non_hate_video_13.mp4,Non Hate,,Others,True,"[['00:00:00', '00:00:09'], ['00:02:06', '00:02:17']]"
non_hate_video_14.mp4,Non Hate,,Blacks,True,"[['00:00:16', '00:01:22'], ['00:01:22', '00:02:23'], ['00:02:24', '00:02:27'], ['00:02:28', '00:03:28'], ['00:03:29', '00:03:59']]"
non_hate_video_15.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:07'], ['00:00:07', '00:00:11'], ['00:00:24', '00:00:28'], ['00:00:38', '00:00:44'], ['00:01:06', '00:01:45'], ['00:01:47', '00:02:07'], ['00:02:11', '00:02:20']]"
hate_video_13.mp4,Hate,"[['00:00:00', '00:03:05']]",Blacks,True,"[['00:00:00', '00:00:07'], ['00:00:20', '00:00:31'], ['00:00:48', '00:00:51'], ['00:01:34', '00:01:38']]"
non_hate_video_16.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:01:09']]"
non_hate_video_17.mp4,Non Hate,,Others,True,"[['00:00:00', '00:00:08'], ['00:00:15', '00:00:21'], ['00:00:39', '00:00:43'], ['00:01:31', '00:01:35']]"
non_hate_video_18.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:05'], ['00:00:07', '00:00:18']]"
hate_video_14.mp4,Hate,"[['00:00:45', '00:02:40']]",Blacks,True,"[['00:00:15', '00:01:17'], ['00:01:17', '00:02:40']]"
non_hate_video_19.mp4,Non Hate,,Others,True,"[['00:00:00', '00:00:04'], ['00:00:05', '00:00:12'], ['00:00:13', '00:00:17'], ['00:00:18', '00:00:37'], ['00:00:43', '00:00:51'], ['00:01:05', '00:01:27'], ['00:01:36', '00:01:43'], ['00:01:44', '00:01:51'], ['00:02:00', '00:02:06'], ['00:02:12', '00:02:29'], ['00:02:51', '00:02:55'], ['00:02:55', '00:03:04'], ['00:03:04', '00:03:09'], ['00:03:33', '00:03:38'], ['00:03:38', '00:03:44'], ['00:04:06', '00:04:09'], ['00:04:17', '00:04:20'], ['00:04:23', '00:04:26']]"
hate_video_15.mp4,Hate,"[['00:00:07', '00:00:47']]",Whites,True,"[['00:00:00', '00:00:06']]"
non_hate_video_20.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:02:59'], ['00:03:00', '00:03:12']]"
hate_video_16.mp4,Hate,"[['00:01:06', '00:01:53']]",Blacks,True,[]
hate_video_17.mp4,Hate,"[['00:00:01', '00:00:03']]",Blacks,False,
non_hate_video_21.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:09'], ['00:00:12', '00:00:26'], ['00:00:36', '00:00:41']]"
non_hate_video_22.mp4,Non Hate,,,True,"[['00:00:00', '00:00:04'], ['00:00:05', '00:00:08']]"
non_hate_video_23.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:07'], ['00:00:18', '00:00:26'], ['00:00:32', '00:00:35'], ['00:00:48', '00:00:52']]"
non_hate_video_24.mp4,Non Hate,,,True,"[['00:00:00', '00:00:42']]"
non_hate_video_25.mp4,Non Hate,,,True,"[['00:00:03', '00:00:07'], ['00:00:08', '00:00:16']]"
non_hate_video_26.mp4,Non Hate,,,True,"[['00:00:00', '00:00:14']]"
non_hate_video_27.mp4,Non Hate,,Blacks,True,"[['00:00:00', '00:00:03']]"
hate_video_18.mp4,Hate,"[['00:00:00', '00:00:51']]",Blacks,True,"[['00:00:00', '00:00:11'], ['00:00:14', '00:00:21'], ['00:00:24', '00:00:38'], ['00:00:41', '00:00:45'], ['00:00:47', '00:00:53']]"
non_hate_video_28.mp4,Non Hate,,,True,"[['00:00:00', '00:00:08']]"
hate_video_19.mp4,Hate,"[['00:00:00', '00:00:42']]",Blacks,True,"[['00:00:00', '00:00:09'], ['00:00:19', '00:00:22']]"
hate_video_20.mp4,Hate,"[['00:00:00', '00:02:12']]",Blacks,True,"[['00:00:00', '00:00:41'], ['00:00:41', '00:00:56'], ['00:00:56', '00:01:29'], ['00:01:30', '00:01:41'], ['00:01:44', '00:01:51'], ['00:01:52', '00:02:11']]"
non_hate_video_29.mp4,Non Hate,,,True,"[['00:00:00', '00:00:08'], ['00:00:08', '00:00:28'], ['00:00:56', '00:00:59'], ['00:01:00', '00:01:05'], ['00:01:23', '00:01:28'], ['00:01:29', '00:01:49']]"
